Details,prix,N_chambre,adresse,Superficie,img_ling-src
Mamelles MAGNIFIQUE APT LUXE,1190000,2,Mamelles,140,https://i.roamcdn.net/hz/ed/listing-thumb-543w/be1db484ed51370e0e16af7348996514/-/horizon-files-prod/ed/picture/q6xdmgep/6a3df5bb9ca7eba9805aa69fcfe80f881bcb0e93.jpg
Appartement meublé à louer à Ngor,800000,3,Ngor,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/460caed5c1ce487d4af034566dced520/-/horizon-files-prod/ed/picture/q2j0djd8/756826bf8ee95fa259a9ba45da815fc75930af7e.jpg
Studio meublé climatisé,27500,1,Cité Damel,60,https://i.roamcdn.net/hz/ed/listing-thumb-543w/184f2d6a4f498aaf4f38454d92d88b4e/-/horizon-files-prod/ed/picture/q78wmnpg/004c16cb8b7d6cf635aeac8be516a9d6aba5c43e.jpg
Studio meublé,30000,1,Sicap foire,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f87053a5b53cc28d9f3b4de917c6dab9/-/horizon-files-prod/ed/picture/q6xdzwjp/55572d790e66627b8e32b5a4b70542de8c7080c7.jpg
Appartement 3 chambres + salon haut standing vue sur mer,100000,3,Almadies,227,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0080d91de24a023a0502760eaa1b4319/-/horizon-files-prod/ed/picture/qrz842dx/37af5de78d99ccb4740bfbaa7d480b367d072daa.jpg
Superbe Appart 3 chambres salon à Ngor Almadies,25000,3,Almadies,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/25dc6616f41b44fd06e3fc8b8aa97adb/-/horizon-files-prod/ed/picture/qngxjeem/097a290af1849ff7b3c8a24ff0af67287244ed45.jpg
Appartement Cité Mixta,30000,2,Cite Mixta,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/46770ef4e3e0fbc8d27cf144d57d6007/-/horizon-files-prod/ed/picture/qgqwdr49/96e2cf58a226860e24120b9506e9e20bde826ddf.jpg
Appartement à louer almadies,2000000,3,Almadies,227,https://i.roamcdn.net/hz/ed/listing-thumb-543w/426cabcccd418a61f551e198cc9f8b4b/-/horizon-files-prod/ed/picture/qenq66g4/bebece8989d5200f4d26279492feefc612aaae33.jpg
Appartement meublé à louer à la Cité Alioune Sow,40000,1,Golf,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b389503eb5df716b5c4022afbfd03338/-/horizon-files-prod/ed/picture/q8v4m8qx/b6bd3ffbe1ab377e64356154d9bfd108c4563b52.jpg
F4 à couper le souffle avec vue sur mer à louer,3000000,1,Mermoz,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f8f7ff68d928d54c7f407a82c0e685e6/-/horizon-files-prod/ed/picture/qpdmqwqv/222053fe6564846172b9409ec24e68f7260ad4a9.jpg
3 chambres luxueux à Sacré-Cœur 1,1700000,3,Sacré-cœur,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5a2d94a948e268e8d7eb84df416bab29/-/horizon-files-prod/ed/picture/q448n9v5/03364e08c53343443b9f2f98e59b7efab7e44a30.jpg
Appartement meublé de 03 chambres Plateau,2200000,3,Plateau,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/df22a1b9f424742a2ffebef12057dd11/-/horizon-files-prod/ed/picture/q6xd46gd/01540a555153fd33fa27c74fa0e94a70d27cf128.jpg
Chambres à Diamniadio,15000,21,Diamniadio,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/34ee5fe8c0dc74a5b1752418bbc1a6ea/-/horizon-files-prod/ed/picture/qj4qp7j8/7d04f2de5e8de9f8c1f5a9e909d99bd91360f17c.jpg
Appartement meublé f3  avec acces piscine,40000,2,Virage,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bc73ee5416ff957625c3183cb5376f29/-/horizon-files-prod/ed/picture/qv4enzej/eca4ea3e6cccbe06ce3407159f9421afedecba09.jpg
F4 entièrement meublé à louer à ngor,55000,1,Ngor,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/50cca9bcdf617d02acff25e8c1ae3379/-/horizon-files-prod/ed/picture/qwepr2wp/707fc8d9b3c35f165cc4a9b8c868e679c80f8370.jpg
F3 magnifiquement meublé à louer au virage,40000,2,Virage,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/808c1a7bc50cabb1363a4fef7afd8256/-/horizon-files-prod/ed/picture/q56dppxx/bb290102b6af0d0c17b73cb26604aafbf846b4e9.jpg
Appartement à louer,50000,3,Mamelles,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c643b110dea15512c1b9dbed08e7cf8c/-/horizon-files-prod/ed/picture/q2j0d9mk/15c2ae5af1d045f7b8ae5323558b41efd6b3c34a.jpg
STUDIO VIP NGOR ALMADIES,20000,1,Ngor,56,https://i.roamcdn.net/hz/ed/listing-thumb-543w/930a5d48cca7d83833b5063cabb02748/-/horizon-files-prod/ed/picture/q78wxxe5/97f28a86aca14789b80586ba1b863f992633fab6.jpg
STUDIO CHAMBRE SALON AUX ALMADIES,30000,1,Almadies,40,https://i.roamcdn.net/hz/ed/listing-thumb-543w/17ff7b62627d862169f7020420419945/-/horizon-files-prod/ed/picture/qdew8j80/fd23ef72ac399dbae6a16b2f75328692c17a66b0.jpg
STUDIO MEUBLÉ POINT E (Amitié),25000,1,Amitié,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fb61622baf7ab9c40a4c10092503d14d/-/horizon-files-prod/ed/picture/q2j0k88j/8cd7799ad754ddb4bf12611b15e56c83bcd3aebd.jpg
Appartements neufs,37000000,1,Ngaparou,55,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0adb74d2d0c77717011f8fe87b4d66b7/-/horizon-files-prod/ed/picture/qgqw4p5e/b9d50ec961d65587198039011d9af7841f56c613.jpg
Appartement vue sur mer,72000000,2,Ngaparou,119,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2529a660701f192ee6ccd530b7c7bf00/-/horizon-files-prod/ed/picture/q0g78np8/b9a03c416550b4123939c818f527c4b210830702.jpg
Studio meublé à louer à Ngor Almadies,550000,1,Ngor,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/82d8a3165c79d140c8f079c843471393/-/horizon-files-prod/ed/picture/qngpd07r/dd719cbe0096bf10db44ffbf578eb240777682c6.jpg
Ref_3271_PL Fann-Résidence/Bel appartement meublé à louer,1500000,2,Fann,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ec55e9eca4cca340b6f92f2c37cf076e/-/horizon-files-prod/ed/picture/qq425jrj/535e172177de532b028666fbe3f00b1d5a20d25b.jpg
Studio meublé à louer à karack dans une zone calme,35000,1,Karack,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f8ef21eca44122508de4331bf69e0450/-/horizon-files-prod/ed/picture/q6xdmekg/03cc8aef37e4c13b303dddaebb31cee6ef2f4573.jpg
Appartement meublé à louer,35000,2,Ouakam,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1c46ca9ddb9937786d0e04a6965b1fd4/-/horizon-files-prod/ed/picture/q78wrpq8/a7be514e610e9bd89f82e4a34f1408bb731f197f.jpg
Studio meublé standing à mermoz sotrac,800000,1,Mermoz,70,https://i.roamcdn.net/hz/ed/listing-thumb-543w/84338c360637e69de3bbbb99da268120/-/horizon-files-prod/ed/picture/q78wrp6d/b25e3a4e9f45bcd8e9562894fe841e76b882b14f.jpg
Appartement Meublé à louer à la cité biagui,1000000,2,Cité biagui,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cdd719b82c41bb1e4054b5d37dc4fa3f/-/horizon-files-prod/ed/picture/qenvj9e2/5a25b632298c84bd1d994f7cb1cfa30369209152.jpg
Appartement Meublé de 2 chambres salon à Mermoz,550000,2,Mermoz,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1ebeefae9f31fbeb2eb0738b01a8315b/-/horizon-files-prod/ed/picture/qzvp5zm6/f6a2a6e186aed6ba1f944ce01106aaf3f6828310.jpg
Ref_3269_PL F3 meublé à louer à la cité Keur Gorgui,50000,2,Cité keur gorgui,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c083aa8f3cf6d5f2c1a25e6867e9fef8/-/horizon-files-prod/ed/picture/q2j0g57j/58d0e34f53536bbaf45ad65ea2449872421d7f84.jpg
Studio meublé vers le lycée française jean mermoz,750000,1,Ouakam,65,https://i.roamcdn.net/hz/ed/listing-thumb-543w/db554a11dda9f5dba09b3361e5b9be82/-/horizon-files-prod/ed/picture/q0g708gk/8ff995e74cbbdd2bef4309ae994fdd731bb3d70e.jpg
Joli studio au rond point le virage,20000,1,Virage,90,https://i.roamcdn.net/hz/ed/listing-thumb-543w/46c01631ef859eadd4fd0797af75b90f/-/horizon-files-prod/ed/picture/qwepe4gz/6f19ab4d1ef1080426fffc9da5cfdd432b34e3a4.jpg
Appartement luxueux avec piscine au Virage Aquanique,130000,3,Virage,206,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b36d459d0e01097dfc10a6abb8ced592/-/horizon-files-prod/ed/picture/qrzvk9g2/c542868c40b2cefa5b399b6967c43705bd453975.jpg
3 chambres salon meublé à louer,1100000,3,Hann marinas,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e826886b82ab22b239ea345740eb4879/-/horizon-files-prod/ed/picture/qxjpxxem/5a7dcf739c34f5edb358ec8ff631fa884befecf2.jpg
BEL F4 MEUBLE AU 3EME ETAGE A LOUER AUX ALMADIES,2000000,1,Almadies,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/997c4e5f6cc6cc69aac96dd2e3437bb9/-/horizon-files-prod/ed/picture/qzvpx5jk/527041f796c4317a2fc5da75efd26c1339d23d13.jpg
Appartement F4 meublé à louer au Virage,2000000,3,Virage,180,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c7c6205e44e96f09241859c9ad826cba/-/horizon-files-prod/ed/picture/qzvp5xv6/57b5c135b92911fc6f311040926cd8d35a22e08f.jpg
3chs salons | longue durée uniquement,600000,3,Mamelles,110,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3156a88316884220b0f218e9d3501a9e/-/horizon-files-prod/ed/picture/qwep5wgk/daac17ab08b592e8a251ff554db351426e3ff6f6.jpg
Appartement meublé type F4 Sicap Foire,120000,3,Sicap foire,220,https://i.roamcdn.net/hz/ed/listing-thumb-543w/59ea14202d91c46dc5a9a3468ebb4024/-/horizon-files-prod/ed/picture/qwdz8v0/ad48e2cd93ec46dea9a5dcd367d198e21e37dff5.jpg
Chambre avec salle de bain meublé,180000,1,Mermoz,50,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ade0ff16d128130cc26bb9d82385820b/-/horizon-files-prod/ed/picture/qv4wqmz2/b5b85aaa1a5b0704357f376832cb87d6e4e786d1.jpg
2chambres salon,25000,2,Liberte 6,125,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5a0aa5701676dddc272c87a41fead6b4/-/horizon-files-prod/ed/picture/qm5g0zz2/b4001786624f66c41a858568460b0748219a7ad4.jpg
Chambre /Appartement meublé Maristes,15000,2,Hann maristes,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0c64ee88cb3f9beb66a9499d760cdb55/-/horizon-files-prod/ed/picture/q785ezde/e8b4b82b83777ed340b3b402700ada2ee7abf9a0.jpg
Appartement 2 chambres à Ngor Almadies-Rez de chaussée,45000,2,Ngor,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/af96414fdbfeea2285d8ca74b06825d5/-/horizon-files-prod/ed/picture/qkrg44zw/f2ad00de1ea3e964ce9c56a3228b83819edfb871.png
F4 meublé à louer à la Sicap L4,700000,3,Liberte 4,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8f52e9cf7f03e52d4c39e1b1ace329af/-/horizon-files-prod/ed/picture/qde7j4j7/9e71f5de91295a16d2a25c6d9cb3b45808ac2e57.jpg
Studio chambre salon,30000,1,Almadies,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f3aa318e273bac43b20762f0981cb9cb/-/horizon-files-prod/ed/picture/qgq9k78r/fbf8b1a80a8f360aaf416ce9274e62a73515f5f2.jpg
Appartement meublé,35000,2,Liberte 6 extension,75,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fe6c0af60c2e8772d962b915407a54d0/-/horizon-files-prod/ed/picture/qrzvwq0q/216cac4a7b98898a63aa5b4165df4fbcd004287b.jpg
Meublé corniche fan résidence 2 chambres,1200000,2,Fann,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/35221378689c8a5ca2e904c6f9c755cb/-/horizon-files-prod/ed/picture/qv4w5qgp/02108ef0c953607eff6ddb8007bf6bc9afc5bc8e.jpg
studio meublé à louer  - Ngor Almadies,25000,1,Almadies,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/eb663f1965933eeb66d5fb9771aa9ed8/-/horizon-files-prod/ed/picture/qwepgdn6/f42ab172726857230d94f21afb1e8ff3edb3467d.jpg
STUDIO MEUBLÉ A LOUER LIBERTE 2,33000,1,Liberte 2,50,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1a32bab690eeda8beddc7e6b73422a9f/-/horizon-files-prod/ed/picture/qde76xrm/11ec52538f72b35014e35b67771e5fafb7c332bf.jpg
APPARTEMENT MEUBLÉ SUR LA CORNICHE,2500000,3,Almadies,227,https://i.roamcdn.net/hz/ed/listing-thumb-543w/721c5fa5da54b584547bcd46ca3083d3/-/horizon-files-prod/ed/picture/qv4w5ep8/2722d48ec743e0c2932e0d40d6b768a6bc9ac58f.jpg
Mini studio d'une chambre à Mbao,7500,1,Mbao,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ec7b25782449b29484a621a09c2754d1/-/horizon-files-prod/ed/picture/qm55zxjq/2e573a2ac6d00bcca124be9c54f0a56c81780815.jpg
Superbe appartement climatisé à Mbao Keur Mbaye Fall,10000,1,Mbao,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1b0cac1cd06ec9ed8fbe54ec13fac720/-/horizon-files-prod/ed/picture/q0gwnn8g/71fa81131e3c6f45b37b9266d3c9bf123b0c4eb3.jpg
Studio meublé spacieux Climatisé Almadie,30000,1,Almadies,4,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cc3d3795ec29d13298eafc8cb6a2145a/-/horizon-files-prod/ed/picture/qzgwp69/bf173739afed4be301d7c3e5b79a4568952eebb8.jpg
STUDIO MEUBLÉ FOIRE,25000,1,Sud foire,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d48f4d7a419e06085f763eebddbed8a2/-/horizon-files-prod/ed/picture/qv4wqkrw/d955b30575bb1fa3a13a3f9e258fe761b9ec6b69.jpg
UN GRAND APPARTEMENT F3 MEUBLÉ,50000,2,Point-e,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/76d1dbf04150557addb97e15d077a4d2/-/horizon-files-prod/ed/picture/q9m9vrkj/c1b64ab343f790b703972cdca2864ed3a91e4087.jpg
Studio moderne - Almadies 2,25000,1,Almadies 2,40,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5c415e39e77900821cdf10cde63c5745/-/horizon-files-prod/ed/picture/q8v4xxe7/487fcd5ef1969f9cd5d8fa73ef52c35c097c3ea2.jpg
Appartement 2 chambres moderne - Almadies 2,50000,2,Almadies 2,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6a8d27a7da300453024d03ef0843df81/-/horizon-files-prod/ed/picture/qngpnn4k/dd5377f5fc4c457b6739f0f1577023050466da0c.jpg
Appartement F3 Élégant et tout Confort,45000,2,VDN,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bff77fcf8f556e55a8f22e492222b854/-/horizon-files-prod/ed/picture/q78wj47x/e017f824f6d1f2599203723d05b846ceb24181ac.jpg
Studio meublé à Sacré Coeur,20000,1,Sacré-cœur,70,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7f4207ae3959b4809efb6c45db061aa7/-/horizon-files-prod/ed/picture/qrzv58kj/8505c9763f60fdc700a6284d904ccba8a496084a.jpg
Studio meublé,699997,1,Mermoz,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3062b7a03f3bc3cce68fc9736364c6de/-/horizon-files-prod/ed/picture/qpdmq5nm/2d27afa1ef77c6e8530fa01f504536eaad524d28.png
Appartement à louer aux Almadies,2000000,3,Almadies,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/02b2c256c18fdb8c22299f017ca8adee/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/q44nq2mp/a69646ffd83e50c6bc9bc508b50de5f8982263f6.jpg
Appartements et studios meublés,30000,1,Saly Portudal,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7c23fa6025131d4e69b85b3eef9d6d5f/-/horizon-files-prod/ed/picture/qrz84mrm/d7ffec465146424110a19554e7aaf3e30e0908d5.jpg
APPARTEMENT MEUBLÉ À LOUER AUX MAMELLES,55000,3,Mamelles,110,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7b1f1623b509ea86544cbaae6f74e49f/-/horizon-files-prod/ed/picture/qv4e646j/2c2bfe14874376a2f9cfb6663c9777ece84df3dd.jpg
Appartement meublé lumineux de 3 chambres salon,400000,3,Virage,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b269629bec1920d491400e499ccddc97/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/q8v5d48r/b409b1cbdee55d3239e5f23cc21d57e09c2ba764.jpg
Magnifique appartement,45000,3,Almadies,135,https://i.roamcdn.net/hz/ed/listing-thumb-543w/862fa741331d4417b24834f710f25540/-/horizon-files-prod/ed/picture/qrz8v892/4ca6563196d0c90df3523412cd1889958c316f1c.jpg
Paradis appartement,35000,2,Almadies,60,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0232a7ca58b46bfe533ee9217e5e005a/-/horizon-files-prod/ed/picture/q0g7w74w/4d35fcda51dfaa7cb691ed3308b21165fc67a6b9.jpg
TRES BEAU STUDIO,25000,2,Almadies,30,https://i.roamcdn.net/hz/ed/listing-thumb-543w/03ca636735174c93f8f4132da14ea49d/-/horizon-files-prod/ed/picture/qxjp60qq/55480b824fe6a5d6c2fe65506f31195359f62f8a.jpg
Appartement Meublé à sicap foire,50000,2,VDN,120,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4cbeffdb9d2c9f05833d37a2a76e4db4/-/horizon-files-prod/ed/picture/qqmrzj7/ad6c2c809589a2fee277514e0370f9725520c561.jpg
T3 neuf meublé Amitié 3 proche Mermoz,1200000,2,Mermoz,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ddc8bdfde8e683adba8253ae515f0792/-/horizon-files-prod/ed/picture/qpdmq45x/37e1ee12f9504276c03abdf9a9112de5acfbdfec.jpg
Appartements meublés,15000,1,Thiès,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4ed17dd71f1a227cf6754729a88c1f73/-/horizon-files-prod/ed/picture/qm5pkw69/8ade1af342007ca5177ea5695fc84be024e01872.jpg
Studio chambre salon Grand Standing,30000,1,Almadies,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/33270e4d0169c5fea4389ceeb9d21560/-/horizon-files-prod/ed/picture/q44jr6r9/59e6e75dd236526b45383135b21d0fc6b035328b.jpg
Cité Sonatel-Appartement 2 chambres Louis XIV,600000,2,Liberte 6,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e0d7c5ef2cce55c8762b8236cdff44c9/-/horizon-files-prod/ed/picture/q4485q2z/a3853a5cded7c1f781569729ab7a67d0063d263a.jpg
3 chambres salon à Sacré cœur 3 VDN,55000,3,Sacré-cœur,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b9a6682bf17ee9a2fd16e8b4c1bdb126/-/horizon-files-prod/ed/picture/q6x6rpdv/dcfcf4c7f53d768fee2a28c7c14c3daf8d3f8867.jpg
Appartement meublés 2 chambres salon,25000,2,Rufisque,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/671a6d61bbdce3292349678fe8bc350f/-/horizon-files-prod/ed/picture/qwepwgd4/344ab67e4a347bd787a05b38e0e69cf42c4938eb.jpg
Location meublé aux mamelles,30000,2,Mamelles,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/85f366968470bfa5e857b1347e337201/-/horizon-files-prod/ed/picture/qngpw769/bd1ba23ca05baf17143bafb81f5a36d6d030b9bc.jpg
Chambre meublée,15000,3,Cité biagui,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/189d48542699863f8d2a160dc9aaf5fd/-/horizon-files-prod/ed/picture/qrz8499m/6330caffcbf4d5502b3accadc37edeaa0473292e.jpg
STUDIO AMÉRICAIN AVEC BALCON VUE SUR MER,30000,1,Yoff,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b9b2d312e44e40b9f42027982dbac7a7/-/horizon-files-prod/ed/picture/q0g70qpx/9bad6e105ca33645ff1889cf56ef55161c0658df.jpg
Appartement meublé à louer aux Almadies,50000,2,Almadies,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/076535e271a61b91861c51d51bf08c60/-/horizon-files-prod/ed/picture/qq427z9p/2e7aba57ad7949baad28b526b560f62ede472ea0.jpg
Fabuleux Studio Meublé,30000,1,Yoff,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bd1a23ce1ed723e690a426ad8e73c0b1/-/horizon-files-prod/ed/picture/q8v4xj06/6249a550073c8a03135ee8f2318426ae50f26813.jpg
Joli et spacieux Studio Meublé,30000,1,Yoff,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/81d4ab9adaf0a237602fc37d98e03177/-/horizon-files-prod/ed/picture/qv4w52p5/68b5e87422d68c043b40b421ca01211fdce4964b.jpg
Studio et mini studio à louer au point e,500000,1,Point-e,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3b7a1a22819e0bff268f9ff6c7cbefc9/-/horizon-files-prod/ed/picture/qzvp5q8x/b318156485125508a3cc08e3fe0d5f0ed8f2dec1.jpg
Mini studio et chambre  meublée a la sicap foire,20000,1,Sicap foire,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2567741b44dc6bac97c59852a461f702/-/horizon-files-prod/ed/picture/q56dr86e/2e40fc326e0b2a95da08855b4b6a2aa8e53f46da.jpg
Ref_3285_PL Appartement meublé à louer au mamelles,35000,1,Mamelles,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b5fe59c2723cfe437eea8eac1a52a875/-/horizon-files-prod/ed/picture/q0g70qxk/436e6414e50259978179039664ef241e4e63e26b.jpg
Studio meublé près  du virage,35000,1,Ngor,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b6472e45dd3eb1d5241d616860da8f52/-/horizon-files-prod/ed/picture/qq429d7e/d945f6ea2fb90c1ce5b3214f9b79345e8811e67d.jpg
Jolie meuble à liberté 06,500000,1,Liberte 6,120,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a7eb907e3e12e41d4fb9264de61c8959/-/horizon-files-prod/ed/picture/qwep5d0k/77c59d1e54292d5fb738eda9eb358685573120ed.jpg
Ref_3286_PL Bel appartement meublé à Mermoz,2000000,3,Mermoz,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ffca3b6118667d920d065283e4ec511c/-/horizon-files-prod/ed/picture/qngpn4v0/157dd991daca138965906b991ec762ee90b2ad50.jpg
Studio meublé à liberté 6,20000,1,Liberte 6,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/52fd2e9fa3b917f35de5b8c767c98c26/-/horizon-files-prod/ed/picture/q2jz5vxv/5e0de5220666c3d0e91eccc7be892bdedee77955.jpg
Appartement meublé climatisé Fadia,25000,3,Parcelles Assainies,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/df7d0c1b82b9edafa1deba74dcb2efa2/-/horizon-files-prod/ed/picture/q9m0eg4n/f70981cc4d85257c8367e730ef9c8cbe88b7d04e.jpg
Appartement 3 chambres avec dépendance domestique,3000000,4,Virage,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3f7e1f7ae61bd4efda0af9b142f84817/-/horizon-files-prod/ed/picture/qq427j07/68d45835026f20ba135cffc03ae7fc02f07b5b5c.jpg
Studio Résidence Carline Virage,50000,1,Virage,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2769af0a548a234dc9be5f1d824f47df/-/horizon-files-prod/ed/picture/q2jq25gp/a2700ad3d70ca92be4d1d366b875256f6ed01abd.jpg
Studio meublé à louer à sacré cœur,20000,1,Sacré-cœur,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/df1805d00f4010bc3219b0e4ba4e398f/-/horizon-files-prod/ed/picture/qpdmgnm2/a6a1ae7eb17834a09a864b31bbc9435b8b66f8ca.jpg
magnifique 2 chambres meublé Nord foire,600000,2,Nord foire,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d090c46f4ff762cccdc87185b1964e6b/-/horizon-files-prod/ed/picture/q0g7nwp8/23cdb9135747a94a20936480082a18a58f9996e4.jpg
"Villa meublée à louer, en longue durée, à Nguerigne",1000000,3,Nguering,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/775c9cb8f5fa72953c27348c1e25dc2f/-/horizon-files-prod/ed/picture/q78w8ve8/76d77c5da95e94578f686f612892ccc8015895fd.jpg
APPARTEMENT F3 BIEN MEUBLÉ,30000,2,VDN,129,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d395475800ecebd308ad3c6634f19143/-/horizon-files-prod/ed/picture/q56w2v0n/9b3cc91d7ca006ef2b25368ab04391b09afba1aa.jpg
Appartement meublé à louer aux plateau 3 chambres,1800000,3,Plateau,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4ece2703730c5eb36c4fade8df014a48/-/horizon-files-prod/ed/picture/qrz8k2jg/4ceaab7cdc3da580456cbe3b0399454f5d7e450e.jpg
Chambre meublée,20000,1,Mamelles,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7c0f9681070ab07af1f0abbbd7a7dd74/-/horizon-files-prod/ed/picture/qwepezr5/e71317506d274efa7555509d097aa00c71433a4f.jpg
Chambre meublée à Ouakam,10000,1,Ouakam,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5b8c2e006c72eb06d12bcd40fd356c26/-eyJvciI6MjcwfQ%3D%3D/horizon-files-prod/ed/picture/q9mj2mp0/0c2b40c2e42df2ea9b8e314ecfed795e05c6e6b3.jpg
Appartement 3 chambres meublés Almadies,1800000,3,Almadies,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e43a376989c36a811c71d2b865cd2b6f/-/horizon-files-prod/ed/picture/q44n8zxv/6a0d885f61c0dcbc294be5e75245ccf48ad82a9e.jpg
F2 meublés sacre coeur 1 longue durée,450000,1,Sacré-cœur,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/17ecb4951b7932f8c9c1de89b6851135/-/horizon-files-prod/ed/picture/q6xdrzd6/11b731ae7d53419d226abdac3e71a07f9ead04fe.jpg
F4 neufs meublés à louer à Bourguiba,1500000,3,Avenue Bourguiba,173,https://i.roamcdn.net/hz/ed/listing-thumb-543w/60462bb0aa10bed5eeb653a81c292dee/-/horizon-files-prod/ed/picture/qq42w84w/5f87e32d97358b4a03e070835d0328fbfd920253.jpg
F1 meublé sacre coeur 1 longue durée,350000,1,Sicap Sacré-cœur,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d676caf4a9d6eb08dad289881f9cee20/-/horizon-files-prod/ed/picture/q8v4knzj/0db12ebeccf804cecde2f0143d8f60047b264821.jpg
Studio meublé aux Almadies,750000,1,Almadies,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/19067b90326450ff5b822070c0a7ad19/-/horizon-files-prod/ed/picture/qq428q76/409e41ccfe38b76696b3cd1b03426cae67b955f8.jpg
