Details,Prix,N_chambre,Adresse,Superficie,Image_link-src
Appartement à louer aux Almadies zone de Recasement,550000,3,Almadies,325,https://i.roamcdn.net/hz/ed/listing-thumb-543w/eeb7b1eb95f1273010f9b6c1ad950362/-/horizon-files-prod/ed/picture/qm5g0wd2/1dc3b30a646f42545e08d2a42b36cbbf5548e798.jpg
RESIDENCE LES VAGUES_ALMADIES,1500000,3,Almadies,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a85dda4abda568cbfed2a5586d33b304/-/horizon-files-prod/ed/picture/q44nmme5/c53ccabe2ae1a3ec90412b2c24454a2ddc9566f3.jpg
Appartement f2 à louer Mermoz,600000,1,Mermoz,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f4971ca9ebc6e897e2907278fa3e966f/-/horizon-files-prod/ed/picture/q8v427xj/c635fb5c24c39a3f21d02dfa77797b8c88126898.jpg
Appartement a louer à la cité Gadaye,230000,3,Guediawaye,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/44c19efcabf9583c26998ff299bfa5f2/-/horizon-files-prod/ed/picture/qxjpgd8j/076f2ced1f3de1e68427862c477f17537cb58d96.jpg
Appartement f4 à louer Almadi,1300000,3,Almadies,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9d38597fdc1468f7db91fd9de8296252/-/horizon-files-prod/ed/picture/qv4w0j0v/685a700abb300a243a8a33549dd43dd174e509c5.jpg
Appartement f4 usage bureau,1500000,3,Almadies,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/202e214e9fc98deed2dc968beb53274f/-/horizon-files-prod/ed/picture/qxjpn79j/9a151969f60ce3b5da5650ed4607ae5e724a2693.jpg
Immeuble à louer,1,1,Guediawaye,1,https://i.roamcdn.net/hz/ed/listing-thumb-543w/79b23e8e532a118033578506b5abbdfd/-/horizon-files-prod/ed/picture/q56d2kqg/44e6c696e4d157a9071db60cf25ad9c96368d6e6.jpg
Appartement f4 à louer à mermoz,1300000,3,Mermoz,2000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/214e0129a8ec6449ac6b27b447a726f2/-/horizon-files-prod/ed/picture/qwep96x4/7d25da00b2718362d479ed9e648976f11b181f6b.jpg
Appartement à louer,400000,3,Cité assemblée,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2c8fd2a4f3ce0505d6ec1e7e55fccbb7/-/horizon-files-prod/ed/picture/qenvmkk2/052804647f136c53032f05a26e04a50696a66c46.jpg
Bel appartement neuf à la Stèle Mermoz,2500000,3,Mermoz,215,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5863a9cd2fe9754fd9008ed00e344772/-/horizon-files-prod/ed/picture/qxjpek94/afb8a70792faa64726acc6016c1167979ea327e8.jpg
Fann Résidence Appartement F5 Neuf,2000000,4,Fann,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/29151a0077a51f6144d0f25d99220f36/-/horizon-files-prod/ed/picture/qj4qpkv8/42a718bfb4765470a424984d3c1ce1701fde818c.jpg
Joli appartement neuf Point E,1300000,3,Point-e,180,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7b193b76dd04e617394c1dc0769eb8c7/-/horizon-files-prod/ed/picture/qngp7m5w/9bcb7e3a250cc8859862d06ff438cb02e6a6bae4.jpg
APPARTEMENT 2  CHAMBRES SALON,750000,3,Sud foire,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2826737262780b26ae07353c455e5029/-/horizon-files-prod/ed/picture/q6xdmxm4/4c22ca00dd76d958b3cc42845d3db6b472928039.jpg
DUPLEX PENTHOUSE DE 4 CH 2 SALONS,2000000,3,Virage,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/013b96b585c2dc8f3cb276addc5a112d/-/horizon-files-prod/ed/picture/qwep56vm/a67ac758eb8e7df6480b6c8d5bbcf1ef2e964830.jpg
Appartement F4 à louer,1100000,3,Point-e,190,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6270993949904cd9e93ab3922abf94a8/-/horizon-files-prod/ed/picture/qkr8xwnx/e5dff78d51938659d6c2aac1583d9a5794175c36.png
Appartement F4 au RDC à Mermoz,850000,3,Mermoz,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3109ff612cbc35ce1a6b8466c30c5301/-/horizon-files-prod/ed/picture/q8v44pdr/b0923c98476cd38f6ef8472321af1ec9581e1aad.jpg
Appartements à louer aux almadies à la zone de recasement,850000,3,Almadies,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/82840e141fa6aae145bf104611b1b40a/-/horizon-files-prod/ed/picture/qde7zp8m/003b3c16d29becc056dbe8394465e1440bc9e28c.jpg
Appartement F4 à louer aux Almadies,1300000,3,Almadies,135,https://i.roamcdn.net/hz/ed/listing-thumb-543w/55b9c439447dbc2c054d989a06058753/-/horizon-files-prod/ed/picture/qzvpq979/291e7d73874e63fca12c62c2e256e96f649fff6f.jpg
APPART F4 CORNICH ALMADIES,1500000,3,Almadies,205,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fa3818ceb23f84ca5a696176d73d93ea/-/horizon-files-prod/ed/picture/qxjpe708/ddc37972ed99aa4891f7ae100f5024a226ff1bd8.jpg
Appartement F4 meublé à louer à Mermoz,1500000,3,Mermoz,180,https://i.roamcdn.net/hz/ed/listing-thumb-543w/50eed8f58166ecc1c2664e4e73f4c34f/-/horizon-files-prod/ed/picture/qkr8v68p/dfd761343f02c866784900a8166cf53fedf11c59.jpg
Appartement à louer à la cité Keur Gorgui,350000,2,Cité keur gorgui,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/03e168f088f8f4d8172272743001c3f9/-/horizon-files-prod/ed/picture/qgqwkx52/c21258472aadc42e92b172bee872c0de827ebf21.jpg
F3 tout neuf à louer à Sicap Amitié,400000,2,Amitié,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9b3f79b7bc2cea56549919a64ad7b6e6/-/horizon-files-prod/ed/picture/qzvp6zmd/76f13d0d8b3ebf2a63605fcb59f1f731ec6eb76a.jpg
Duplex à louer avec piscine privée,1500000,4,Mamelles,300,https://i.roamcdn.net/hz/ed/listing-thumb-543w/da3f9fae81c64ffaed4cdb74c0fc20e8/-/horizon-files-prod/ed/picture/q56d5607/efc3f312cc231ce59ed0da06cd5d78df896eb217.jpg
Appartement a la Residence kalia,500000,3,Zone de captage,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/070a678bcb51da04d90d19fdadb0286c/-/horizon-files-prod/ed/picture/q2j02mkv/7d7f5ba0da987c03ec60d1e23c63c01673a26ae2.jpg
Appartement de 2 ch salon a la Cité Keur Gorgui,350000,2,Cité keur gorgui,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1c72fbe82e5827d65259e8b8c7cefdbc/-/horizon-files-prod/ed/picture/q44n2kpz/5ddf40ecbd9964745d00f01d27fd4de7da7a1644.jpg
Studio à louer à liberte 6,100000,1,Liberte 6,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/98c3078975abf6a09e862e78ea0d7cc3/-/horizon-files-prod/ed/picture/qv4e6r68/257b05ca533fe3f45bceaf31af3d4e788a8655fa.jpg
Appartement à louer almadies,2500000,3,Almadies,250,https://i.roamcdn.net/hz/ed/listing-thumb-543w/34d88f00eab263cdcb035fed8963b048/-/horizon-files-prod/ed/picture/q8v4xq00/d7e040302269cbc7986f3eb957ee25601d59463f.jpg
Appartement F4 ( 3 chambres / salon ) à louer,1000000,3,Point-e,215,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b8788cf51ee0d1bbfcb601b203d6f4a7/-/horizon-files-prod/ed/picture/qwep9vzk/cd390b523de0581d4aa1fb5f0079fe290a3000ac.jpg
Appartement à louer,150000,2,Kounoune,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9810f2b7826937b4fbedb45c8f5ca5de/-/horizon-files-prod/ed/picture/qv4w075g/f10bf1cf84fa91782d8a0413e0ba471704931eb8.jpg
A  louer studio1ètage cité batrain mermoz meublé,250000,3,Mermoz,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/78a8cc97c5db6e5af30dcbf8b962abfc/-/horizon-files-prod/ed/picture/q9mj2exp/4ef913edc6f020de9e09878a7b932c05c2939492.jpg
Appartement 3 chambres salon sur la route King Fahd,2000000,3,Almadies,225,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f8fec4f76240fd877c795c8d1db508c8/-/horizon-files-prod/ed/picture/qgqwjpzq/a8e0d9df02b3b27742dc5903ac2441ba30fe0e4a.jpg
"APPARTEMENT VIDE CITE TOUBA RENAISSANCE , MAMELLES DAKAR",500000,3,Mamelles,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/116546884fc83e308325705427a82937/-/horizon-files-prod/ed/picture/q44n2zz8/3f90b566d34b0ec1ad0b60db01e1e5625c8c0658.jpg
Ref_2744_SEY Appartement à louer à Bourguiba,800000,3,Avenue Bourguiba,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f1e2bef99d785bd343b1f363c40f68fe/-/horizon-files-prod/ed/picture/q9mj2pmw/7a8348351e40ae591f677d5c62e107432cd315c7.jpg
Appartement F4 à louer à Ngor Almadies,900000,3,Almadies,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/985bfda9dc99faae5f1f5f5c84beb754/-/horizon-files-prod/ed/picture/qrz8zj6q/37cebeed012a5d1a8b5c58adc913cb8e1d28b9af.jpg
Appartement f3 neuf à louer à patte d’oie,350000,2,Patte d‘oie,110,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c60a1e42b67eb8aad34512266f370914/-/horizon-files-prod/ed/picture/q9mj65vj/182ae7d65e2579b59415cf99b04f41c38bb02b6c.jpg
Appartement neuf à louer à Mermoz Batrain,400000,2,Mermoz,120,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ff06331565cb4403520ea257d3c905c9/-/horizon-files-prod/ed/picture/qv4w5k0m/f67b1425a2f54423dae75ada80796f9baf099e68.jpg
Appartement f4 à louer à sacré cœur 1,850000,3,Sicap Sacré-cœur,160,https://i.roamcdn.net/hz/ed/listing-thumb-543w/634f3268af0d42d95a7080217010fb2f/-/horizon-files-prod/ed/picture/q8v42rp9/582981805b12717938d0067b81bf6d5f508cc44d.jpg
Plateau de bureaux de 198 m2 à louer au Point E,1800000,3,Point-e,198,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d3c7f2ee38695357e3c27b5169cdd5d9/-/horizon-files-prod/ed/picture/qgqw5v90/e512cbfc2ff13331656b7122919e9564d5434e64.jpg
Appartement à louer vue sur mer sur le haut plateau,2700000,4,Plateau,250,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0ef21159de8cfd61a8f736a0cc004578/-/horizon-files-prod/ed/picture/qpdmd082/9bcee04f36993ed9af961afa5ece03408819aba7.jpg
Appartement f4 high standing à louer au virage,1800000,3,Virage,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cd8dfbacadf4c61d2f5acdce01d760ad/-/horizon-files-prod/ed/picture/qq47mx0j/ec5a73db18650a03d9abc64c9ca76c1840ac8ab7.jpg
Appartement à louer à Mermoz,600000,2,Mermoz,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2252012cdb075e13ee3562699549f5c3/-/horizon-files-prod/ed/picture/qngpkrz0/dcf91b80af055326e61adcff2d8fa802bb95e463.jpg
Appartements à louer à la zone B,1000000,3,Avenue Bourguiba,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ec38636d4fad87c8ec325f19763fa30c/-/horizon-files-prod/ed/picture/qzvpqg5q/f8a9ac75f8721453c8fd4a8353274f874a32511b.jpg
Ref_2745_PL À Louer : Résidence aux Almadies,2600000,4,Almadies,395,https://i.roamcdn.net/hz/ed/listing-thumb-543w/86379eb2a1b5745a5f6d6050c3b6b1a7/-/horizon-files-prod/ed/picture/qq42kp8p/54ef9b12b8a20e3958f69f1ce232815ad66d477e.jpg
Ref_2745_PL À Louer : Résidence aux Almadies –,4000000,3,Almadies,414,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8732e20eea4c30ed7ddbd537010c2813/-/horizon-files-prod/ed/picture/qxjpn472/b3cf229d0edcc863ba4fca2024209630d5dcaa41.jpg
Ref_2745_PL À Louer : Résidence aux Almadies,1350000,1,Almadies,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/49d0fde3130c90f1a4b6141eeff860ea/-/horizon-files-prod/ed/picture/qenvmge5/0f60f19256c6330c4b62f4ad06146f378798a8bf.jpg
Appartement F3 à louer à Nord Foire,300000,2,Nord foire,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/88cbee12336261320b2e582ace19aa5d/-/horizon-files-prod/ed/picture/q78wdnzj/fded8272ece0386ae7ce6471b69f0cd9018e83d6.jpg
Appartement à sacré coeur 3 VDN,350000,3,Sacré-cœur,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/86c13a20be489dabdcc5ffbd9cbca173/-/horizon-files-prod/ed/picture/qxjpz744/71e73a9fd508d4adfbf33a9f235008458a39b0ab.jpg
Appartement à la cité Djily mbaye de yoff,325000,3,Djily mbaye,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e52d0daca6e3875723e5c169ac31cb34/-/horizon-files-prod/ed/picture/qv4wzw8w/7b23e48be28acc1cc1234ac6c84d65c4e9f93846.jpg
Appartement à louer à la Sicap Liberte 1,900000,3,Liberte 1,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/228c0535d3a3aeb484dd504a0750b774/-/horizon-files-prod/ed/picture/q9mjjngn/cf30fbbc6268c0b955cc24be6e4f06afb3a398e6.jpg
Studio à louer à Nord Foire,220000,1,Nord foire,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d9706618b438516c8660c7f921e2e499/-/horizon-files-prod/ed/picture/qj4qdvk8/6e3bd3c9f5d8a8d9d3a8330e3bf46a9e591047fe.jpg
Appt haut standing de 3chmbres avec piscine au virage,1850000,3,Virage,240,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3963bc144fabdd8e182bba084b1f1c3b/-/horizon-files-prod/ed/picture/q8v4pn0x/e7eb7552ff69dd66ac524cb431d228735e93b6fd.jpg
F3 à louer sicap foire,250000,2,Sicap foire,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/548ede37393301914636d1ca9c615254/-/horizon-files-prod/ed/picture/q9mjdkn6/9c675f0ee9b3e0c91e890597f37adf7a0db90293.jpg
Appartement F4 à Louer plateau  Vue sur Mer,600000,3,Plateau,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/98e35492a81e1f19b595d9893e97f5e9/-/horizon-files-prod/ed/picture/qpdm7g8r/fe463296e73458f86d4161a5daabec895c0cfc80.jpg
F2 à louer à fass,190000,1,Fass,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1415e563e5df3ab3b054cb9b57363be4/-/horizon-files-prod/ed/picture/q44n4rze/cea8d9abbe28d10c936e63ce731fde339205e241.jpg
APPARTEMENT A LOUER,1500000,3,Point-e,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/625bc039f00b5be892143a3464c5ab6a/-/horizon-files-prod/ed/picture/qj4q9mmz/60e3390c544f752cc384768fd20533e8962f49ee.jpg
Studio a louer Golf Sud,165000,1,Golf,75,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9de6802156f4ee0b40c80aff8604d471/-/horizon-files-prod/ed/picture/qgqwkn59/fd081372eb4f399446265f6d536c4d8c7b49cf1e.jpg
De bels apparts tous neufs à Ngor Almadies,400000,3,Mamelles,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1d1fd52b045c073a07b79a0010f751da/-/horizon-files-prod/ed/picture/qwe22826/daf2c34762318cb84566885bbc3addf8094b2ec5.jpg
Appartements F4 de haut standing à louer à la Zone B/Point E,1000000,3,Point-e,190,https://i.roamcdn.net/hz/ed/listing-thumb-543w/64cbd37eae0ef9583514de401fe10d27/-/horizon-files-prod/ed/picture/q0g7d9mw/aa85d039d964e087efe532762213aadd68588704.jpg
Appartement F4 à louer,1650000,3,Fenêtre mermoz,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9e58ff6191373400316b451f5bbf2447/-/horizon-files-prod/ed/picture/qq4280kp/beb0e01c796baae64fb74ccf14bb729fa52cc388.jpg
Appartement à vendre corniche à fan résidence,450000000,3,Fann,346,https://i.roamcdn.net/hz/ed/listing-thumb-543w/50981fc48230591376415723b2b64b76/-/horizon-files-prod/ed/picture/q78wpgpd/5afd5e7bac978c7106d4229f2848180853243df6.jpg
Des appartements hauts standing aux mamelles,1000000,3,Mamelles,180,https://i.roamcdn.net/hz/ed/listing-thumb-543w/db8c0d90c4f75c84817f657bf709e03e/-/horizon-files-prod/ed/picture/q0g7vgrj/99e056cde8dd8a44937370de00a4aa7d7a4dda76.jpg
Appartement haut standing au rez-de-chaussée à Mermoz,1300000,3,Mermoz,225,https://i.roamcdn.net/hz/ed/listing-thumb-543w/21cdc5312395c30b3dc162dbfe149b2e/-/horizon-files-prod/ed/picture/qrz8mzpq/2af70b875b707c6b7ddee54c0b66eb40c5655c12.jpg
Appartement Standing Maristes F2 à F4,350000,1,Hann maristes,90,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d7e6f12c2ffab349eb0af8055d786a3f/-/horizon-files-prod/ed/picture/qngpkddg/e1d0ff76479e69175f53c990c18e2d295b8a536a.jpg
F2  à louer aux maristes,350000,3,Hann maristes,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fcd416c3ff2bc58abf2a55b8416958a8/-/horizon-files-prod/ed/picture/qwepzq46/d9ccb5a7f8afbecb81cf896950bb139b096694ad.jpg
Appartement F3 tout neuf à louer aux mamelles cité MBACKIYOU,350000,2,Mamelles,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a5fa221371b85df3900e385842cc62e5/-/horizon-files-prod/ed/picture/qxjpnqez/ff98471afcb29c9771678cd5558303a039be3cfd.jpg
Appartement Type F4 À LOUER pour Bureau à Sacrée cœur 3,650000,3,Sicap Sacré-cœur,110,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f3d222802f4591c14b3890a19b2c14d5/-/horizon-files-prod/ed/picture/q2j026rg/4e6e23d06cd1d1ab9c3af2f4c5b0c1647871658f.jpg
APPARTEMENT AUX ALMADIES,500000,3,Almadies,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/648c412cf1a3072ec2d98f4947b93172/-/horizon-files-prod/ed/picture/qpdm7694/c9071a1f36ecdc39c27281a91dd142d50e0ff903.jpg
APPARTEMENTS F4 AUX MAMELLES,550000,3,Mamelles,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3496ddaefd355448d583b6f0d9e3e6c4/-/horizon-files-prod/ed/picture/qrz8k2w2/0c14a318e6c6fcdd68a9ef9ec472941d6c7a9534.jpg
APPARTEMENTS F3 AUX MAMELLES,450000,2,Mamelles,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1d359e713e23011cc94ba39f4fdc9a75/-/horizon-files-prod/ed/picture/qq42kqxj/2aaf6eee44f5df0f906ad7c6469c3548fd5e38b0.jpg
DUPLEX À LOUER NGOR-ALMADIES,800000,4,Almadies,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/80dcea62cfdbe65d9e739cf66c73db92/-/horizon-files-prod/ed/picture/qkr8vgkm/c9d264855a9ab3b2328f711430918d734e6cefcc.jpg
Appartement à louer à Mermoz Batrain,650000,3,Mermoz,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/851ca73428805088faad0d77af0d0b7d/-/horizon-files-prod/ed/picture/q9mjx8ww/d67f8af0887c3f5e3f241c5761970306306452e6.jpg
Trois chambres à louer par mois,750000,3,Mamelles,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c5765bcbe9bb617a68d3cf18ff42515d/-/horizon-files-prod/ed/picture/qv4w0ekj/448e6a7f215473a85b14bed20ea177da025031e6.jpg
Trois chambres à louer par mois,800000,3,Plateau,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a9e02fbedd0028b9af0bc4f776de9458/-/horizon-files-prod/ed/picture/q2j09rnj/ca0edbfa64b6acea3a10b1bbdbeebc1351955f62.jpg
Ref_2746_SEY Appartement à louer à Ngor,750000,4,Ngor,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ed4a5a38864ed882ec3ab1ad58194957/-/horizon-files-prod/ed/picture/qngp8dqg/12f7281238c7fdcfad4ad0de0179e58a336bea84.jpg
Ref_2748_SEY Appartement à louer à Ngor,500000,3,Ngor,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/63f06758d6d4b4d7cd2605d470a37ae9/-/horizon-files-prod/ed/picture/qv4wvpj2/9a38113dc1474a5f3a9132d2c6ad1ec91eee8e53.jpg
Appartement f4 à louer 12 boulevard djily mbaye,1400000,3,Plateau,175,https://i.roamcdn.net/hz/ed/listing-thumb-543w/858aadebfe976d782be7bfc66cd4efff/-/horizon-files-prod/ed/picture/qde7mwpm/caa281c0bf04627463bcedd26fe8e65a12d70fb4.jpg
Appartement à louer Ouakam cite Africa,1700000,3,Ouakam,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fff51448432ae27db9ff33459c214192/-/horizon-files-prod/ed/picture/qv4wvp8x/e51762ec27c88d01595ff9d5b417d5c51e4e770c.jpg
Grands appartements F4 aux Almadies route du King Fahd,1200000,3,Almadies,255,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ea142afed4c4a995081a3f0653862bdf/-/horizon-files-prod/ed/picture/qpdmr6wr/891105ac7a0ecd864b2f8d73d0c693c18054c10a.jpg
Appartement F4+ ch de service (352m2) vue sur mer Almadies,2300000,4,Almadies,352,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1918d1bb4e249fe1680034db59c103d0/-/horizon-files-prod/ed/picture/q44nm274/38bc2343cb4608d71bd15847336a291c6d0a8acb.jpg
Résidence les Tennis Villa à Louer,80000,3,Saly,400,https://i.roamcdn.net/hz/ed/listing-thumb-543w/93a4491da5eb1bb76a392f4bf1770d68/-/horizon-files-prod/ed/picture/qpdmjqgw/e8a009fbaaeac100d3325f4066b4087ffdbb8c9a.jpg
appartement f4 vu mer à louer fann hck,1800000,3,Fann Hock,220,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bb7bf13d21e30af3a150314f9011332d/-/horizon-files-prod/ed/picture/qpdm7d70/279835a4fb2ed77aecb0b758c6167fb1e511839b.jpg
Appartements neufs a Ngor Almadies,500000,2,Almadies,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/09d026e6a174366c26f2b7419a8df287/-/horizon-files-prod/ed/picture/q0g7n9ex/07a2e8be40f21981525667eaf4ad17765b999492.jpg
Mermoz zone très calme & sécurisé,600000,3,Mermoz,175,https://i.roamcdn.net/hz/ed/listing-thumb-543w/10113cd018919c734e404b7ca0fb5b36/-/horizon-files-prod/ed/picture/q0g7vwek/c992f73a42e557fa31d3db754251cb8e2f8c58d7.jpg
Mermoz magnifique appartement,500000,3,Mermoz,175,https://i.roamcdn.net/hz/ed/listing-thumb-543w/025408b92239fdffb91f1be3066e76b3/-/horizon-files-prod/ed/picture/qxjp920n/692a21cb8fcb3283ded4b517a227e33cdaa2d1c6.jpg
Magnifique  duplex  équipé et meublé à louer,900000,4,Mermoz,300,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d39590b256b7017f94f8ad1ff8396db1/-/horizon-files-prod/ed/picture/q9m9w7gx/0056114ab02a66b3e79e7b9732fd6784f055359e.jpg
Appartement F3 neuf aux mamelles,350000,2,Mamelles,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fd158acd9b6cf901511b92f74626d5b2/-/horizon-files-prod/ed/picture/qq42x2wv/51776e29a55b2f7bf4dfb162395ab70cb7f09aa0.jpg
Appartement à louer almadies,1500000,3,Almadies,204,https://i.roamcdn.net/hz/ed/listing-thumb-543w/35acc052dfa307d9bcbe0c0439ce9531/-/horizon-files-prod/ed/picture/qv4em80w/f7cc7e6e32cf84a05e2f5b26344904928200dc3d.jpg
Appartement à louer ngor diarama,1600000,5,Almadies,300,https://i.roamcdn.net/hz/ed/listing-thumb-543w/eebb1505f6f211c0dff1a5ef7bda6fdb/-/horizon-files-prod/ed/picture/qxjp8q6m/62e0a3caf3f0cb205b005548e7e697aed442ab17.jpg
Appartement meublé à louer à Bel Air,900000,3,Hann marinas,240,https://i.roamcdn.net/hz/ed/listing-thumb-543w/52a7388599f4b1cda48236bf38de205b/-/horizon-files-prod/ed/picture/qwepk8dz/f0e3692cbe79562aca02d2cd78290c19b8f9e231.jpg
Studio à usage de bureaux à louer !,250000,1,Sacré-cœur,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1c42c6242b5beab08388e0df187a1e7c/-/horizon-files-prod/ed/picture/q44nwnv9/1a8e9763d661d454ba3e39d9b81f7849bc8202ec.jpg
Appartement 2 chambres salon à louer aux Almadies,400000,2,Almadies,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/61846ff1976c94850b9b467b5d93e7f4/-/horizon-files-prod/ed/picture/q78wp7z5/c7e259fa65c98ad07663e7c296ef904f8a8eba2e.jpg
APPARTEMENT AUX ALMADIES,750000,3,Mamelles,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7649a43b1b9988f48a1a0d6947d17460/-/horizon-files-prod/ed/picture/qv4wvwn2/c969ab75569746e6401c909e16f413642084d7fe.jpg
APPARTEMENTS AUX ALMADIES,450000,2,Almadies,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e76fa373ae2c72797a156cb85b506e0d/-/horizon-files-prod/ed/picture/qgqw46q2/8c772e11016a94e7f25adc47f515ce340ed9f648.jpg
APPARTEMENTS À LOUER YOFF HANGARS,500000,3,Yoff,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/da50be3560fd4b615af1788e38283674/-/horizon-files-prod/ed/picture/qwep9r4j/86fef9696302106c82ebbaa409bcd679e131efc1.jpg
Appartement à louer en centre-ville !,800000,3,Plateau,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fdea0a160103aa5ff503bb8bcf0dac3e/-/horizon-files-prod/ed/picture/q44nw5mz/ecb1f8ff43d95c2d4d407165a266445004e754b7.jpg
APPARTEMENT AUX ALMADIES,1200000,3,Almadies,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/58b4557b98ac72308f55835722644fe6/-/horizon-files-prod/ed/picture/qngp89kv/b6c7d14b6fbc34d003182fd06d88b13ff0ca098f.jpg
APPARTEMENT A LOUER A NGOR NON LOIN BRIOCHE DORE,325000,2,Ngor,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2e8bf39f63c93152d1854611a1084c86/-/horizon-files-prod/ed/picture/q44nw5kp/16e35f308752dce3b305652c32bc49e64835289e.jpg
Appartement à la sicap foire,250000,2,Sicap foire,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2ff83227fb9d1a304330f29dc78925dd/-/horizon-files-prod/ed/picture/qq42x9dj/6be98a374ba28ace71b0aa845e8050ba1922a291.jpg
Appartement à sotrac mermoz,900000,3,Almadies,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6a36552b68de22b8a632d7fd1de857c3/-/horizon-files-prod/ed/picture/q78wg9xx/ef6e50a9a66a504130afc36a5bb2dfb910fa2d16.jpg
Des apparts à louer à la Sicap Sacré Cœur,300000,3,Mamelles,100,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9839b6d1be6ed224c181bab9e626cdef/-/horizon-files-prod/ed/picture/qm5r8de9/cfc8e71605d6426084fa03291550d958ede49ac8.jpg
