Details,Prix,Adresse,Superficie,image_link-src
Terrain de 400 m2 à vendre Benne Tally bordure de route,280,Biscuiterie,400,https://i.roamcdn.net/hz/ed/listing-thumb-543w/929902054e65bea223d4e64d05f29b5c/-/horizon-files-prod/ed/picture/qm5gd02g/5d64c49fc998d8a66e7233ad8cc3969708db7a64.jpg
TERRAIN EN TF À VENDRE À LA CITÉ HAWO DIA,22500000,Kounoune,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4da17d6cb56f05649f6ae7e88d55fa81/-/horizon-files-prod/ed/picture/qenv2wv9/26303d7d460194236bfc3e1c5d7dc6ca31384544.jpg
Terrain a vendre a Keur Massar Unité 22,18000000,Keur Massar,160,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cf567483e39c13dddb0a02b4527fbf8a/-/horizon-files-prod/ed/picture/qkr86ezx/7435de6d43dba995dc7a49e04598e08946c9385b.jpg
A VENDRE UN TERRAIN AVEC FONDATION,175000000,Mamelles,200,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2c1ea9e5bbd7880a1a7c848fd27f945b/-/horizon-files-prod/ed/picture/q6xdzz58/18dced4b3b562edafaeaffc74aa7e36989756a17.jpg
terrain à vendre,15000000,Keur Massar,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d6e5853073a96ed208aca234c482908e/-/horizon-files-prod/ed/picture/qkr822dj/e3e0e7068782d4c347d422cd346dff16825e16b7.jpg
Terrain clôturé en titre foncier à la lagune de Somone,138000000,Somone,1390,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8503197f76189159b057a30c75adcec2/-/horizon-files-prod/ed/picture/q44n77v8/560465f3362995a99c65da73928415d99e969e11.jpg
"""Opportunite a saisir "" 2 ha à vendre à Popenguine",15000,Popenguine,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/42534f50552812d148ac974f1103b3e5/-/horizon-files-prod/ed/picture/qrz8jgz4/78a3652064d128fc15630e91b6a991f23e42b22f.jpg
Terrain à la SeneGindia SN City de Ndiakhirate,20000000,Ndiakhirate,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0708d5420a778a50f4cee946622c04b8/-/horizon-files-prod/ed/picture/qzvpe6xr/ca1d132659696e3b2f3d196e10011a4fa6d9071a.jpg
VENTE TERRAIN ZONE DE CAPTAGE,80000000,Zone de captage,183,https://i.roamcdn.net/hz/ed/listing-thumb-543w/910649dbe2dec72cfa679fbf8512d6ee/-/horizon-files-prod/ed/picture/q8v4nd86/0e25616730213503d86fe8b3b69ce4e3766d6bf4.jpg
"518m2, angle, tf à vendre à Hann Mariste",1,Hann maristes,518,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e4c5b4977ca804faa6127bf615979e4f/-/horizon-files-prod/ed/picture/qxjpxzm4/2380b5a48189517d50298f4b79b84d62918e1c6a.jpg
